Registry,Assignment,Organization Name,Organization Address
MA-L,201642,Microsoft Corporation,One Microsoft Way REDMOND WA US 98052 
MA-L,8C946A,"New H3C Technologies Co., Ltd","466 Changhe Road, Binjiang District Hangzhou Zhejiang CN 310052 "
MA-L,FC1165,Cambium Networks Limited,"Unit B2, Linhay Business Park, Ashburton Devon GB TQ13 7UP "
MA-L,CC8DB5,"Shenzhen SuperElectron Technology Co.,Ltd.","1213-1214, haosheng business center, dongbin road, nanshan street, nanshan district, shenzhen city Shenzhen Guangdong CN 518000 "
MA-L,ACEE64,"Shenzhen SuperElectron Technology Co.,Ltd.","1213-1214, haosheng business center, dongbin road, nanshan street, nanshan district, shenzhen city Shenzhen Guangdong CN 518000 "
MA-L,0012F3,u-blox AG,Norra Vallgatan 64 Malmoe  SE SE-211 22 
MA-L,547068,VTech Communications Limited,"23/F, Tai Ping Industrial Centre, Block 1, 57 Ting Kok Road, Tai Po, New Territories Hong kong  HK 00852 "
MA-L,C84052,PAX Computer Technology(Shenzhen) Ltd.,"4/F, No.3 Building, Software Park, Second Central Science-Tech Road, High-Tech Shenzhen GuangDong CN 518057 "
MA-L,68EE4B,"Sharetronic Data Technology Co.,Ltd","Room 1209, 12 / F, Building 1, Yaohua Foundation Building, Shennan Avenue, Futian District Shenzhen Guangdong CN 518040 "
MA-L,48C35A,"LENOVO(BEIJING)CO., LTD.","Lenovo HQ East,Building 1,No.10 Courtyard Xibeiwang East Road,Haidian District Beijing  CN 100176 "
MA-L,C461C7,Microsoft Corporation,One Microsoft Way REDMOND WA US 98052 
MA-L,ACCB36,"Fiberhome Telecommunication Technologies Co.,LTD",No.5 DongXin Road Wuhan Hubei CN 430074 
MA-L,60706C,"Google, Inc.",1600 Amphitheatre Parkway Mountain View CA US 94043 
MA-L,C82ADD,"Google, Inc.",1600 Amphitheatre Parkway Mountain View CA US 94043 
MA-L,240935,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
MA-L,B4DB91,CELESTICA INC.,1900-5140 Yonge Street PO Box 42    Toronto Ontario CA M2N 6L7 
MA-L,C48372,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
MA-L,C0A5E8,Intel Corporate,"Lot 8, Jalan Hi-Tech 2/3   Kulim Kedah MY 09000 "
MA-L,906584,Intel Corporate,"Lot 8, Jalan Hi-Tech 2/3   Kulim Kedah MY 09000 "
MA-L,28C5D2,Intel Corporate,"Lot 8, Jalan Hi-Tech 2/3   Kulim Kedah MY 09000 "
MA-L,E48C73,"Realme Chongqing Mobile Telecommunications Corp.,Ltd.","No.178 Yulong Avenue, Yufengshan, Yubei District, Chongqing. Chongqing  China CN 401120 "
MA-L,2CB6C8,"Raisecom Technology CO., LTD","No. 11, East Area, No. 10 Block, East Xibeiwang Road Beijing  CN 100094 "
MA-L,D834D1,"Shenzhen Orange Digital Technology Co.,Ltd","Room 2305,Building 2,Phase 6 ,Vanke Yuncheng,Tongfa South Road,Xili Community,Xili Street,Nanshan District,Shenzhen Shenzhen  CN 518055 "
MA-L,842289,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
MA-L,84AAA4,SONoC Corp.,"8F-3, No. 1071, Zhongzheng Road, Taoyuan District, Taoyuan city, Taiwan Taoyuan  TW 330 "
MA-L,883C93,Alcatel-Lucent Enterprise,26801 West Agoura Rd Calabasas CA US 91301 
